YEAR,state,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLOUD_AMT,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PS,QV2M,RH2M,T2MDEW,T2MWET,TOA_SW_DWN,TS,WD10M,WD2M,WS10M,WS2M
2011,Kansas,88.55,5.4,20.57,17.06,11.48,0.25,,0.19,46.0,107.44,20.88,0.41,0.39,0.4,95.63,6.53,58.0,4.23,9.05,28.9,14.25,199.31,199.06,5.21,3.55
2012,Kansas,92.02,5.39,21.91,17.77,11.88,0.26,,0.18,41.72,107.15,20.81,0.41,0.39,0.39,95.67,6.77,55.81,5.22,10.29,28.87,15.8,192.31,193.31,5.18,3.52
2013,Kansas,87.36,5.42,20.36,16.79,11.32,0.23,,0.19,46.76,107.43,20.82,0.43,0.41,0.44,95.8,7.08,63.31,4.96,8.79,28.9,12.9,190.0,190.81,5.34,3.64
2014,Kansas,88.46,5.58,20.23,16.98,11.52,0.24,,0.19,50.66,108.38,20.99,0.43,0.41,0.42,95.75,6.96,61.19,4.5,8.62,28.9,13.15,208.94,211.75,5.38,3.68
2015,Kansas,88.22,5.64,20.14,16.87,11.47,0.24,,0.17,49.2,107.86,20.8,0.44,0.42,0.44,95.81,7.81,65.06,6.55,10.21,28.91,14.07,186.0,186.19,5.04,3.42
2016,Kansas,89.62,5.51,20.97,17.16,11.66,0.25,,0.17,47.07,108.4,20.9,0.48,0.45,0.48,95.76,8.3,67.94,7.57,10.83,28.86,14.16,193.31,194.19,5.09,3.45
2017,Kansas,87.25,5.59,19.91,16.75,11.34,0.24,,0.17,50.2,107.42,20.79,0.45,0.42,0.44,95.73,7.45,63.88,6.37,10.18,28.89,14.32,198.0,199.25,5.25,3.59
2018,Kansas,87.76,5.68,19.72,16.84,11.41,0.25,,0.18,52.76,107.8,20.84,0.45,0.43,0.45,95.82,7.69,66.31,6.03,9.51,28.89,13.35,195.5,197.94,5.06,3.46
2019,Kansas,86.47,5.63,19.5,16.57,11.27,0.24,,0.2,53.34,108.12,20.89,0.58,0.53,0.56,95.73,8.48,75.5,7.32,9.64,28.89,11.98,194.69,195.12,5.06,3.43
2020,Kansas,88.65,5.43,20.67,17.05,11.41,0.24,,0.18,47.35,106.86,20.76,0.48,0.45,0.47,95.8,7.57,67.5,6.44,9.78,28.86,13.28,188.81,190.12,5.04,3.42
2021,Kansas,87.33,5.68,19.85,16.77,11.23,0.23,,0.18,48.22,106.63,20.7,0.45,0.43,0.45,95.74,7.75,65.25,6.58,10.23,28.9,14.09,193.0,193.88,5.05,3.44
2022,Kansas,92.85,5.2,22.42,17.86,11.96,0.26,,0.19,46.79,108.58,21.06,0.41,0.4,0.4,95.77,6.84,56.56,4.2,8.97,28.91,14.08,204.44,206.88,5.3,3.62
1981,Nebraska,,,,,,,,,,,,0.33,0.31,0.35,91.88,5.86,60.81,2.22,6.4,,10.88,294.69,301.88,5.11,3.52
1982,Nebraska,,,,,,,,,,,,0.37,0.34,0.38,91.83,5.86,64.88,1.62,5.21,,9.08,273.81,279.38,5.14,3.56
1983,Nebraska,,,,,,,,,,,,0.4,0.36,0.4,91.79,6.16,68.88,2.5,5.72,,9.1,307.94,328.44,5.16,3.56
1984,Nebraska,,,,15.19,,,,0.2,63.46,,20.0,0.4,0.36,0.4,91.85,5.86,66.0,2.13,5.63,27.79,9.33,280.88,288.06,5.17,3.58
1985,Nebraska,,,,15.78,,,,0.2,60.55,,20.2,0.37,0.34,0.37,91.93,5.55,63.75,0.92,4.76,27.83,8.95,300.88,304.31,5.26,3.65
1986,Nebraska,,,,15.33,,,,0.18,61.31,,20.19,0.37,0.34,0.38,91.9,6.23,64.38,3.2,6.89,27.83,10.83,284.56,290.38,5.14,3.55
1987,Nebraska,,,,16.02,,,,0.17,58.22,,20.25,0.38,0.34,0.38,91.93,6.16,64.12,2.99,6.77,27.83,10.74,310.62,315.25,4.94,3.4
1988,Nebraska,,,,16.06,,,,0.2,59.63,,20.08,0.36,0.33,0.36,91.89,5.68,58.69,1.39,5.85,27.79,10.54,273.31,277.44,5.41,3.73
1989,Nebraska,,,,15.89,,,,0.18,64.02,,20.14,0.33,0.3,0.33,92.0,5.43,57.38,0.48,5.02,27.84,9.98,282.62,288.12,5.2,3.6
1990,Nebraska,,,,15.79,,,,0.19,61.76,,20.17,0.32,0.3,0.34,91.88,5.55,56.88,1.2,5.9,27.84,10.94,286.81,291.06,5.15,3.55
1991,Nebraska,,,,15.56,,,,0.19,59.73,,20.07,0.34,0.31,0.34,91.89,5.86,60.62,2.13,6.37,27.84,10.86,268.44,272.69,5.24,3.62
1992,Nebraska,,,,14.83,,,,0.21,62.18,,20.08,0.36,0.33,0.37,91.91,5.74,63.81,2.3,6.07,27.8,10.15,295.5,300.44,4.99,3.44
1993,Nebraska,,,,14.82,,,,0.25,65.12,,20.13,0.4,0.36,0.41,91.94,6.1,70.12,2.37,5.33,27.83,8.49,305.31,308.31,5.02,3.47
1994,Nebraska,,,,16.04,,,,0.24,61.42,,20.2,0.38,0.34,0.38,91.93,6.16,63.94,2.62,6.4,27.83,10.43,243.25,246.5,5.16,3.56
1995,Nebraska,,,,15.06,,,,0.16,63.61,,20.3,0.38,0.34,0.38,91.86,5.98,64.69,2.47,6.09,27.83,9.94,284.0,287.81,5.23,3.61
1996,Nebraska,,,,15.04,,,,0.18,66.75,,20.24,0.38,0.34,0.38,91.87,5.86,65.25,1.51,4.99,27.79,8.8,303.62,308.31,5.2,3.62
1997,Nebraska,,,,15.82,,,,0.16,61.19,,20.36,0.37,0.34,0.37,91.92,5.98,63.5,2.33,6.12,27.83,10.29,288.25,291.81,5.25,3.64
1998,Nebraska,,,,15.56,,,,0.16,62.34,,20.36,0.37,0.34,0.38,91.82,6.16,64.25,3.11,6.9,27.84,11.03,284.0,292.19,4.92,3.4
1999,Nebraska,,,,15.77,,,,0.15,59.79,,20.29,0.36,0.33,0.36,91.92,5.98,60.94,2.69,6.82,27.84,11.25,256.25,259.81,5.33,3.68
2000,Nebraska,,,,15.85,,,,0.17,61.62,,20.2,0.32,0.3,0.33,91.93,5.55,57.75,1.44,6.13,27.8,11.26,267.62,270.94,5.3,3.69
2001,Nebraska,83.92,5.52,19.68,16.19,11.03,0.23,,0.24,52.15,104.19,20.3,0.35,0.32,0.36,91.91,6.04,62.31,2.73,6.74,27.85,11.07,267.31,272.62,5.2,3.59
2002,Nebraska,84.44,5.72,19.46,16.38,11.07,0.23,,0.2,52.04,103.52,20.26,0.32,0.3,0.31,91.93,5.31,55.12,0.88,5.86,27.85,11.3,273.12,277.12,5.48,3.8
2003,Nebraska,83.88,5.64,19.22,16.21,11.02,0.22,,0.21,53.0,103.48,20.22,0.32,0.3,0.33,91.88,5.62,58.38,1.79,6.33,27.84,11.27,277.62,281.5,5.21,3.61
2004,Nebraska,83.17,5.44,19.34,16.07,10.96,0.22,,0.2,54.23,103.88,20.27,0.34,0.31,0.35,91.93,5.92,62.12,2.55,6.55,27.8,10.95,261.94,265.0,5.18,3.59
2005,Nebraska,84.16,5.5,19.7,16.24,11.09,0.23,,0.22,51.26,104.1,20.27,0.35,0.32,0.35,91.86,6.23,62.44,2.91,6.92,27.83,11.23,266.81,271.81,5.23,3.61
2006,Nebraska,84.05,5.45,19.6,16.26,11.06,0.23,,0.2,51.46,103.82,20.26,0.32,0.3,0.32,91.86,5.68,57.31,2.0,6.73,27.83,11.88,292.56,295.62,5.4,3.74
2007,Nebraska,82.59,5.44,19.38,15.93,10.84,0.23,,0.25,52.03,103.66,20.15,0.4,0.36,0.41,91.91,6.84,67.06,3.84,7.15,27.83,10.68,243.62,247.06,5.33,3.69
2008,Nebraska,83.87,5.35,20.03,16.32,10.98,0.22,,0.22,50.7,103.1,20.21,0.41,0.37,0.41,91.84,6.04,65.69,2.12,5.55,27.79,9.19,291.19,295.0,5.41,3.74
2009,Nebraska,79.68,5.67,17.92,15.39,10.5,0.22,,0.21,55.38,103.01,20.15,0.43,0.38,0.42,91.9,6.1,68.81,2.61,5.65,27.83,8.9,311.88,314.75,5.18,3.59
2010,Nebraska,83.48,5.41,19.52,16.1,10.99,0.23,,0.2,52.21,104.02,20.25,0.45,0.39,0.42,91.82,6.65,68.94,3.54,6.64,27.83,9.91,255.75,262.56,5.15,3.55
2011,Nebraska,81.07,5.39,18.95,15.66,10.63,0.22,,0.21,52.31,103.27,20.16,0.38,0.34,0.38,91.82,6.16,63.94,2.3,6.05,27.84,10.05,293.12,297.19,5.3,3.68
2012,Nebraska,87.8,5.43,21.05,17.09,11.45,0.23,,0.21,46.63,102.96,20.15,0.33,0.3,0.3,91.83,5.43,52.5,1.63,7.12,27.8,13.1,258.0,261.44,5.39,3.73
2013,Nebraska,82.76,5.76,19.03,16.02,10.84,0.21,,0.2,52.47,103.19,20.14,0.31,0.3,0.34,91.91,5.92,61.38,1.85,5.88,27.84,10.37,291.5,296.38,5.38,3.74
2014,Nebraska,83.42,5.83,18.89,16.12,10.98,0.22,,0.2,55.12,104.06,20.32,0.34,0.31,0.34,91.88,5.86,61.44,1.54,5.5,27.84,9.87,307.12,309.44,5.55,3.87
2015,Nebraska,82.45,5.52,19.32,15.92,10.84,0.22,,0.2,50.89,103.45,20.13,0.35,0.33,0.37,91.95,6.35,62.75,3.15,7.06,27.85,11.26,277.81,282.94,5.22,3.62
2016,Nebraska,83.81,5.3,19.99,16.17,11.04,0.23,,0.2,49.91,104.24,20.29,0.38,0.34,0.38,91.91,6.47,62.81,3.51,7.37,27.8,11.43,271.62,274.88,5.35,3.7
2017,Nebraska,82.3,5.54,19.02,15.94,10.81,0.23,,0.2,52.95,103.38,20.19,0.38,0.34,0.38,91.9,5.98,61.62,2.62,6.65,27.83,11.05,306.38,309.5,5.2,3.6
2018,Nebraska,80.83,5.74,18.09,15.61,10.66,0.22,,0.24,55.8,103.41,20.16,0.41,0.37,0.41,91.99,6.59,69.94,3.12,6.06,27.83,9.12,299.94,305.88,5.09,3.5
2019,Nebraska,80.17,5.74,17.79,15.47,10.59,0.22,,0.23,59.79,103.91,20.27,0.46,0.41,0.45,91.88,6.71,72.75,3.35,5.95,27.83,8.66,311.75,315.56,5.18,3.57
2020,Nebraska,84.22,5.59,19.55,16.35,10.97,0.23,,0.23,52.09,102.64,20.14,0.41,0.36,0.38,91.95,6.1,62.5,2.69,6.61,27.79,10.73,274.25,277.75,5.34,3.69
2021,Nebraska,83.05,5.88,18.92,16.13,10.77,0.22,,0.22,52.6,102.12,20.02,0.35,0.32,0.35,91.9,6.35,61.62,3.06,7.1,27.84,11.44,258.31,264.94,5.12,3.54
2022,Nebraska,87.23,5.5,20.8,16.92,11.38,0.23,,0.2,53.2,104.35,20.43,0.31,0.29,0.3,91.91,5.49,53.94,0.63,5.73,27.85,11.38,292.94,296.25,5.59,3.9
1981,South Dakota,,,,,,,,,,,,0.45,0.44,0.44,95.2,5.31,61.0,1.24,5.44,,9.94,321.69,324.38,4.99,3.48
1982,South Dakota,,,,,,,,,,,,0.48,0.47,0.48,95.16,5.49,69.25,0.93,4.05,,7.4,331.94,335.19,4.98,3.48
1983,South Dakota,,,,,,,,,,,,0.49,0.47,0.48,95.14,5.8,68.62,1.8,5.05,,8.61,51.5,47.56,4.91,3.45
1984,South Dakota,,,,14.38,,,,0.2,65.49,,19.22,0.48,0.45,0.47,95.16,5.37,66.0,1.18,4.73,26.67,8.55,300.81,306.56,4.98,3.48
1985,South Dakota,,,,15.12,,,,0.23,64.32,,19.4,0.46,0.45,0.45,95.24,4.94,66.19,-0.37,3.31,26.71,7.27,301.69,303.25,5.12,3.58
1986,South Dakota,,,,14.34,,,,0.22,63.64,,19.24,0.5,0.48,0.49,95.22,5.8,70.12,2.64,5.69,26.71,8.98,314.69,320.12,4.95,3.45
1987,South Dakota,,,,15.08,,,,0.18,63.47,,19.18,0.48,0.45,0.45,95.23,5.74,64.62,2.71,6.48,26.71,10.51,294.12,297.38,4.71,3.28
1988,South Dakota,,,,15.18,,,,0.19,65.08,,19.23,0.44,0.42,0.41,95.16,5.13,58.5,0.3,4.94,26.67,9.94,299.62,302.81,5.22,3.65
1989,South Dakota,,,,15.26,,,,0.2,65.72,,19.35,0.45,0.43,0.43,95.3,5.07,61.38,-0.04,4.12,26.73,8.68,302.25,306.69,5.06,3.54
1990,South Dakota,,,,15.39,,,,0.17,64.02,,19.38,0.45,0.43,0.43,95.16,5.25,59.06,0.79,5.18,26.73,9.9,287.5,291.38,4.9,3.41
1991,South Dakota,,,,15.04,,,,0.2,64.34,,19.28,0.46,0.45,0.46,95.18,5.74,65.0,1.99,5.66,26.73,9.58,275.69,281.12,5.18,3.62
1992,South Dakota,,,,14.04,,,,0.22,67.28,,19.26,0.48,0.45,0.47,95.22,5.31,66.12,1.65,5.18,26.68,8.98,302.5,308.38,4.84,3.38
1993,South Dakota,,,,14.31,,,,0.23,66.27,,19.22,0.49,0.47,0.49,95.27,5.37,70.81,1.27,4.21,26.72,7.38,312.19,315.81,4.95,3.45
1994,South Dakota,,,,15.08,,,,0.24,63.1,,19.41,0.48,0.46,0.48,95.24,5.55,66.69,1.57,5.07,26.71,8.87,321.25,330.88,4.99,3.49
1995,South Dakota,,,,14.45,,,,0.19,66.66,,19.31,0.51,0.48,0.51,95.18,5.86,70.81,2.23,5.15,26.71,8.26,344.5,345.62,4.88,3.41
1996,South Dakota,,,,14.68,,,,0.23,65.12,,19.38,0.51,0.48,0.5,95.22,5.25,69.81,0.28,3.37,26.67,6.71,4.38,4.62,5.13,3.59
1997,South Dakota,,,,15.31,,,,0.21,63.11,,19.45,0.55,0.52,0.54,95.23,6.04,72.56,2.46,5.19,26.71,8.02,294.69,299.06,4.94,3.43
1998,South Dakota,,,,15.02,,,,0.17,63.32,,19.48,0.51,0.48,0.49,95.14,5.92,68.31,2.9,6.21,26.72,9.79,32.75,26.88,4.62,3.21
1999,South Dakota,,,,15.15,,,,0.15,61.05,,19.41,0.52,0.48,0.5,95.19,5.86,66.88,2.84,6.25,26.73,9.87,264.31,271.31,5.02,3.49
2000,South Dakota,,,,15.19,,,,0.19,62.77,,19.4,0.47,0.45,0.45,95.24,5.25,63.06,1.08,5.08,26.69,9.38,350.5,352.38,5.19,3.63
2001,South Dakota,82.04,5.74,19.27,15.74,10.81,0.2,,0.27,54.05,100.03,19.49,0.46,0.45,0.45,95.2,5.55,64.06,1.96,5.85,26.73,9.97,316.38,322.62,4.99,3.47
2002,South Dakota,78.08,5.56,18.31,15.15,10.25,0.2,,0.2,56.15,99.09,19.43,0.44,0.43,0.42,95.21,5.13,59.25,0.62,5.05,26.73,9.84,305.0,309.38,5.06,3.53
2003,South Dakota,77.76,5.63,17.67,15.03,10.21,0.2,,0.22,57.37,98.8,19.34,0.45,0.43,0.42,95.18,5.25,61.69,1.18,5.3,26.72,9.74,323.19,328.38,5.02,3.51
2004,South Dakota,78.81,5.52,18.58,15.3,10.31,0.2,,0.18,55.79,99.16,19.39,0.46,0.45,0.46,95.23,5.43,63.75,1.65,5.44,26.68,9.63,333.69,335.81,5.05,3.55
2005,South Dakota,79.77,5.41,19.04,15.43,10.44,0.2,,0.2,55.3,99.46,19.42,0.48,0.45,0.46,95.15,5.74,63.75,2.15,6.01,26.72,10.11,309.88,315.31,5.16,3.6
2006,South Dakota,80.17,5.67,18.77,15.57,10.47,0.2,,0.2,55.2,98.72,19.32,0.45,0.43,0.43,95.15,5.37,60.62,1.9,6.23,26.72,10.94,328.44,331.25,5.03,3.51
2007,South Dakota,77.97,5.36,18.37,15.1,10.16,0.2,,0.2,55.38,98.34,19.21,0.48,0.47,0.48,95.18,6.04,66.38,2.6,6.06,26.71,9.75,314.69,326.56,5.07,3.54
2008,South Dakota,77.05,5.35,18.28,15.0,10.05,0.2,,0.2,54.27,98.09,19.28,0.5,0.48,0.49,95.14,5.43,66.81,1.08,4.46,26.67,8.01,310.19,315.81,5.16,3.59
2009,South Dakota,76.91,5.56,17.66,14.92,10.09,0.2,,0.22,56.56,98.35,19.31,0.5,0.48,0.5,95.24,5.37,69.44,1.31,4.4,26.71,7.78,328.5,330.62,4.94,3.45
2010,South Dakota,79.81,5.46,18.59,15.31,10.6,0.2,,0.27,55.57,99.99,19.47,0.52,0.48,0.51,95.13,6.04,71.31,2.57,5.54,26.72,8.68,303.44,322.06,4.99,3.48
2011,South Dakota,79.71,5.47,18.71,15.28,10.52,0.2,,0.27,55.92,99.69,19.45,0.52,0.49,0.52,95.12,5.98,70.94,2.21,5.15,26.72,8.11,281.0,289.56,5.05,3.51
2012,South Dakota,81.11,5.63,19.14,15.79,10.53,0.2,,0.22,53.99,97.84,19.17,0.47,0.44,0.43,95.1,5.37,59.0,1.89,6.45,26.68,11.25,331.19,333.38,5.05,3.52
2013,South Dakota,76.75,5.66,17.38,14.82,10.07,0.19,,0.23,59.82,98.58,19.26,0.47,0.45,0.47,95.24,5.68,67.25,1.4,4.71,26.73,8.38,352.62,352.81,4.98,3.49
2014,South Dakota,76.93,5.68,17.53,14.84,10.15,0.19,,0.22,57.24,99.22,19.38,0.5,0.47,0.48,95.19,5.62,67.0,1.13,4.42,26.73,7.97,321.88,323.88,5.29,3.7
2015,South Dakota,78.52,5.42,18.83,15.22,10.23,0.2,,0.21,53.52,98.2,19.19,0.47,0.45,0.46,95.24,5.86,64.94,2.4,6.07,26.73,9.93,304.19,309.12,5.08,3.53
2016,South Dakota,82.24,5.28,19.88,15.86,10.81,0.21,,0.24,52.32,99.92,19.44,0.48,0.45,0.46,95.16,5.98,65.38,3.04,6.67,26.68,10.61,293.06,296.56,5.27,3.69
2017,South Dakota,80.66,5.59,18.85,15.64,10.59,0.2,,0.23,54.75,98.88,19.38,0.45,0.44,0.44,95.2,5.31,61.88,1.37,5.47,26.72,9.91,324.75,326.94,5.02,3.51
2018,South Dakota,76.81,5.77,16.88,14.79,10.11,0.2,,0.22,57.94,98.25,19.21,0.46,0.45,0.46,95.32,5.74,67.88,1.7,5.01,26.72,8.66,353.94,359.38,4.82,3.38
2019,South Dakota,76.18,6.04,15.89,14.57,10.19,0.2,,0.29,62.25,99.7,19.45,0.53,0.51,0.53,95.23,6.1,76.19,2.15,4.45,26.72,6.89,338.06,341.25,4.94,3.45
2020,South Dakota,79.88,5.86,18.1,15.5,10.42,0.2,,0.24,54.58,98.45,19.34,0.51,0.48,0.48,95.22,5.86,65.94,2.42,5.94,26.68,9.65,283.69,287.94,5.0,3.48
2021,South Dakota,77.66,5.61,18.09,15.16,9.98,0.19,,0.19,53.46,95.86,18.92,0.46,0.45,0.45,95.18,5.8,62.19,2.33,6.39,26.72,10.84,276.12,286.62,5.04,3.52
2022,South Dakota,81.14,5.42,19.37,15.75,10.55,0.2,,0.2,52.72,99.27,19.47,0.47,0.45,0.45,95.19,5.55,63.25,0.85,4.69,26.73,8.81,311.0,312.81,5.35,3.76
1981,North Dakota,,,,,,,,,,,,0.44,0.41,0.42,94.73,4.7,65.88,-0.49,3.08,,6.84,270.81,272.44,4.93,3.45
1982,North Dakota,,,,,,,,,,,,0.46,0.44,0.45,94.71,4.7,73.0,-1.77,0.93,,3.83,285.62,289.0,5.07,3.56
1983,North Dakota,,,,,,,,,,,,0.48,0.44,0.45,94.71,4.88,70.62,-0.73,2.26,,5.53,269.75,275.44,5.02,3.52
1984,North Dakota,,,,13.64,,,,0.22,68.04,,18.32,0.45,0.42,0.43,94.69,4.52,68.19,-1.42,1.87,25.51,5.34,278.12,280.56,5.04,3.52
1985,North Dakota,,,,13.86,,,,0.23,68.04,,18.51,0.45,0.43,0.44,94.77,4.27,70.38,-2.51,0.52,25.55,3.66,294.56,295.69,5.32,3.72
1986,North Dakota,,,,13.72,,,,0.23,64.27,,18.42,0.47,0.44,0.46,94.74,4.94,72.0,0.12,2.96,25.55,6.02,277.06,279.31,5.13,3.6
1987,North Dakota,,,,14.2,,,,0.18,64.9,,18.24,0.45,0.42,0.43,94.77,5.13,67.75,1.02,4.34,25.55,7.88,276.81,278.19,4.98,3.48
1988,North Dakota,,,,14.34,,,,0.2,62.97,,18.25,0.4,0.38,0.38,94.68,4.39,60.5,-1.96,2.37,25.51,7.01,289.62,290.75,5.41,3.8
1989,North Dakota,,,,14.45,,,,0.21,65.38,,18.56,0.4,0.38,0.38,94.81,4.27,62.62,-2.65,1.34,25.56,5.74,288.12,290.62,5.23,3.69
1990,North Dakota,,,,14.69,,,,0.17,63.48,,18.45,0.41,0.39,0.38,94.65,4.52,60.19,-1.62,2.5,25.56,6.93,276.56,278.38,5.42,3.82
1991,North Dakota,,,,13.8,,,,0.21,65.77,,18.35,0.41,0.41,0.41,94.69,4.88,67.06,-0.37,3.03,25.56,6.71,269.31,271.06,5.34,3.74
1992,North Dakota,,,,13.85,,,,0.26,67.76,,18.44,0.43,0.41,0.41,94.74,4.46,67.25,-0.88,2.5,25.51,6.19,283.12,285.25,5.04,3.53
1993,North Dakota,,,,13.33,,,,0.28,66.71,,18.5,0.47,0.45,0.46,94.79,4.64,73.12,-1.02,1.62,25.55,4.44,277.81,279.25,5.1,3.56
1994,North Dakota,,,,14.09,,,,0.27,64.95,,18.43,0.48,0.45,0.47,94.77,4.88,71.88,-0.65,2.24,25.55,5.26,269.5,270.69,5.19,3.63
1995,North Dakota,,,,13.88,,,,0.23,66.5,,18.43,0.49,0.46,0.48,94.73,5.0,73.0,-0.45,2.19,25.55,4.99,280.62,284.69,5.03,3.53
1996,North Dakota,,,,13.88,,,,0.26,68.37,,18.59,0.45,0.43,0.45,94.77,4.52,72.38,-2.45,0.34,25.5,3.31,284.88,288.31,5.19,3.64
1997,North Dakota,,,,14.72,,,,0.24,65.41,,18.61,0.45,0.42,0.43,94.74,4.82,70.5,-0.57,2.52,25.55,5.8,283.69,285.0,5.31,3.73
1998,North Dakota,,,,14.55,,,,0.21,61.65,,18.53,0.45,0.43,0.44,94.7,5.13,70.31,0.58,3.64,25.56,6.94,276.62,281.88,4.8,3.36
1999,North Dakota,,,,14.41,,,,0.21,62.59,,18.64,0.48,0.45,0.47,94.73,5.07,70.81,0.65,3.54,25.56,6.51,264.38,265.19,5.23,3.65
2000,North Dakota,,,,14.06,,,,0.21,63.06,,18.55,0.46,0.44,0.45,94.8,4.82,69.88,-0.79,2.25,25.52,5.39,289.38,292.0,5.12,3.57
2001,North Dakota,76.88,5.8,18.19,14.91,10.11,0.18,,0.29,57.63,94.68,18.61,0.45,0.42,0.43,94.75,4.94,67.81,-0.01,3.32,25.57,6.81,286.88,289.31,5.02,3.49
2002,North Dakota,71.63,5.8,15.96,14.0,9.4,0.17,,0.25,63.94,94.12,18.59,0.41,0.4,0.4,94.74,4.52,64.19,-1.36,2.33,25.57,6.37,290.0,292.06,5.23,3.68
2003,North Dakota,73.11,5.61,16.86,14.16,9.63,0.17,,0.3,59.34,93.94,18.52,0.42,0.41,0.41,94.72,4.7,66.44,-0.95,2.52,25.56,6.16,288.0,290.94,5.25,3.68
2004,North Dakota,73.35,5.88,16.51,14.12,9.66,0.17,,0.28,59.76,94.55,18.6,0.44,0.42,0.43,94.77,4.7,69.06,-0.71,2.4,25.51,5.81,289.69,291.75,5.25,3.7
2005,North Dakota,72.0,5.61,16.75,14.03,9.42,0.17,,0.23,58.9,94.07,18.5,0.45,0.43,0.45,94.69,5.13,69.38,0.26,3.31,25.55,6.51,294.56,296.44,5.36,3.75
2006,North Dakota,72.91,5.53,16.81,14.25,9.51,0.18,,0.21,58.77,93.23,18.39,0.44,0.41,0.42,94.7,4.94,65.31,0.34,3.94,25.55,7.81,289.75,291.56,5.29,3.71
2007,North Dakota,73.13,5.6,16.8,14.14,9.6,0.18,,0.27,59.65,93.64,18.41,0.45,0.42,0.44,94.72,5.19,68.19,0.23,3.39,25.55,6.71,281.81,283.81,5.38,3.77
2008,North Dakota,73.66,5.57,17.43,14.42,9.62,0.17,,0.27,55.77,93.2,18.46,0.44,0.42,0.43,94.67,4.58,67.44,-1.67,1.62,25.5,5.1,284.5,287.19,5.41,3.79
2009,North Dakota,74.62,5.98,16.68,14.4,9.87,0.18,,0.34,58.54,94.1,18.57,0.49,0.45,0.48,94.77,4.82,74.88,-0.84,1.65,25.55,4.23,286.56,288.81,5.05,3.52
2010,North Dakota,74.22,5.48,17.18,14.18,9.81,0.17,,0.33,58.22,94.73,18.57,0.49,0.46,0.48,94.68,5.31,76.62,0.54,2.9,25.56,5.28,262.06,264.12,4.97,3.45
2011,North Dakota,74.73,5.57,17.76,14.35,9.95,0.18,,0.33,55.95,94.92,18.63,0.52,0.48,0.51,94.64,5.43,76.12,0.63,2.92,25.56,5.16,267.94,270.56,5.2,3.62
2012,North Dakota,71.38,5.43,16.65,13.92,9.32,0.17,,0.22,57.95,92.79,18.29,0.45,0.43,0.44,94.64,4.94,65.44,0.38,3.98,25.52,7.73,277.69,279.94,5.21,3.65
2013,North Dakota,73.7,5.88,16.47,14.26,9.76,0.17,,0.34,60.09,94.6,18.57,0.47,0.45,0.46,94.81,5.0,73.38,-0.74,1.83,25.56,4.58,308.94,311.19,4.98,3.48
2014,North Dakota,70.75,5.79,16.35,13.77,9.33,0.16,,0.27,57.8,93.73,18.48,0.5,0.46,0.48,94.71,5.0,73.38,-0.95,1.57,25.56,4.18,293.12,294.44,5.42,3.81
2015,North Dakota,74.03,5.47,17.86,14.44,9.66,0.17,,0.25,55.7,92.95,18.32,0.45,0.43,0.44,94.77,5.13,68.12,0.35,3.56,25.57,6.89,276.81,279.0,5.2,3.64
2016,North Dakota,74.09,5.36,17.77,14.37,9.73,0.18,,0.26,57.03,94.57,18.52,0.43,0.41,0.42,94.69,5.13,68.56,0.77,4.02,25.51,7.52,278.94,281.12,5.36,3.77
2017,North Dakota,76.62,5.69,18.15,14.94,10.1,0.19,,0.3,56.76,94.34,18.61,0.43,0.41,0.41,94.72,4.64,65.5,-0.76,2.87,25.55,6.75,284.44,285.44,5.33,3.73
2018,North Dakota,73.07,5.99,15.88,14.32,9.57,0.17,,0.3,61.99,93.27,18.41,0.43,0.41,0.42,94.87,4.76,68.25,-0.96,2.27,25.55,5.75,278.12,280.25,4.99,3.51
2019,North Dakota,72.1,6.0,15.44,13.98,9.65,0.17,,0.31,64.94,94.3,18.58,0.48,0.45,0.48,94.77,5.0,75.38,-0.75,1.69,25.55,4.29,296.56,298.75,5.09,3.57
2020,North Dakota,76.6,6.0,17.34,15.0,10.02,0.18,,0.27,59.34,93.61,18.52,0.48,0.44,0.45,94.71,4.94,67.12,-0.09,3.23,25.51,6.71,269.88,271.31,5.25,3.68
2021,North Dakota,72.41,5.87,16.22,14.26,9.32,0.17,,0.23,60.05,90.64,18.05,0.41,0.4,0.39,94.69,4.88,61.69,-0.31,3.78,25.56,8.2,272.88,274.56,5.27,3.7
2022,North Dakota,75.1,5.62,17.51,14.56,9.88,0.18,,0.31,58.29,94.8,18.66,0.45,0.42,0.44,94.71,5.0,70.94,-1.06,1.89,25.57,4.94,293.56,295.25,5.55,3.91
1981,Minnesota,,,,,,,,,,,,0.48,0.48,0.51,96.85,5.25,75.38,0.61,2.99,,5.44,287.06,290.25,4.95,3.43
1982,Minnesota,,,,,,,,,,,,0.52,0.52,0.56,96.85,5.19,80.25,-0.65,1.23,,3.13,272.12,273.62,5.17,3.6
1983,Minnesota,,,,,,,,,,,,0.52,0.52,0.56,96.85,5.68,80.88,0.65,2.5,,4.44,271.31,276.12,4.93,3.43
