State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars)
Georgia,1990,116127.9,6512602,17831
Georgia,1989,108528.9,6411117,16928
Georgia,1987,92176.4,6208479,14847
Georgia,1986,85815.0,6084645,14104
Georgia,1983,63391.4,5728248,11066
Georgia,1982,57837.9,5649788,10237
Georgia,1981,53425.1,5568346,9594
Georgia,1979,42320.3,5391265,7850
Georgia,1978,37819.0,5286148,7154
Georgia,1977,33332.1,5211771,6396
Georgia,1976,30146.6,5126155,5881
Georgia,1975,27084.3,5058535,5354
Hawaii,2023,93501.1,1435138,65151
Hawaii,1980,11488.2,967710,11872
Hawaii,1984,15457.7,1027922,15038
Hawaii,2006,50182.6,1309731,38315
Hawaii,2017,73646.4,1458361,50499
Hawaii,1985,16446.5,1039698,15819
Hawaii,1974,6360.7,858121,7412
Hawaii,1995,30826.0,1196854,25756
Hawaii,1999,33425.6,1210300,27618
Hawaii,2021,88948.0,1446745,61481
Hawaii,2010,56649.4,1365064,41499
Hawaii,1988,20464.8,1079827,18952
Hawaii,1975,6919.0,875052,7907
Hawaii,1976,7465.9,892335,8367
Hawaii,1977,8084.0,915749,8828
Hawaii,1978,8953.9,928816,9640
Hawaii,1979,10043.6,950050,10572
Hawaii,1981,12428.3,978195,12705
Hawaii,1982,13160.1,993780,13243
Hawaii,1983,14446.8,1012717,14265
Hawaii,1986,17452.2,1051762,16593
Hawaii,1987,18560.8,1067917,17380
Hawaii,1989,22855.5,1094588,20880
Hawaii,1990,24977.1,1113491,22431
Hawaii,1991,26454.6,1136754,23272
Hawaii,1992,28421.0,1158613,24530
Hawaii,1993,29455.5,1172838,25115
Hawaii,1994,30134.9,1187536,25376
Hawaii,1996,30840.5,1203755,25620
Hawaii,1997,31735.8,1211640,26192
Hawaii,1998,32355.7,1215233,26625
Hawaii,2000,35403.1,1213519,29174
Hawaii,2001,36996.8,1225948,30178
Hawaii,2002,38865.6,1239613,31353
Hawaii,2003,40734.2,1251154,32557
Hawaii,2004,43729.2,1273569,34336
Hawaii,2005,46898.1,1292729,36278
Hawaii,2007,53022.5,1315675,40301
Hawaii,2009,55409.0,1346717,41144
Hawaii,2008,55802.6,1332213,41887
Hawaii,2011,59226.4,1384943,42765
Hawaii,2012,61161.6,1405024,43531
Hawaii,2013,61983.4,1423171,43553
Hawaii,2014,65182.2,1434212,45448
Hawaii,2015,68200.8,1446479,47150
Hawaii,2016,70744.8,1457008,48555
Hawaii,2018,75266.4,1460183,51546
Hawaii,2019,78551.8,1457034,53912
Hawaii,2022,88973.3,1439399,61813
Hawaii,2020,82761.3,1451181,57030
Idaho,1988,13748.0,985661,13948
Idaho,2010,50201.9,1571266,31950
Idaho,2021,103114.0,1904537,54141
Idaho,1999,30180.1,1275674,23658
Idaho,1995,23788.6,1177322,20206
Idaho,1974,4497.4,807973,5566
Idaho,1985,11923.4,994052,11995
Idaho,2017,71472.6,1734030,41218
Idaho,2006,45887.7,1468669,31244
Idaho,1984,11280.4,990841,11385
Idaho,1980,8395.9,947983,8857
Idaho,2023,115988.4,1964726,59035
Idaho,2020,91888.5,1849339,49687
Idaho,2022,109775.9,1938996,56615
Idaho,2019,83019.4,1808039,45917
Idaho,2018,76529.6,1768643,43270
Idaho,2016,67294.1,1696089,39676
Idaho,2015,64564.3,1662421,38838
Idaho,2014,60897.0,1640181,37128
Idaho,2013,57790.6,1618042,35716
Idaho,2012,55719.8,1600013,34825
Idaho,2011,53076.5,1586530,33454
Idaho,2008,50157.4,1534320,32690
Idaho,2009,48498.8,1554439,31200
Idaho,2007,48853.5,1505105,32459
Idaho,2005,41724.7,1428241,29214
Idaho,2004,39386.7,1391802,28299
Idaho,2003,36454.9,1363380,26739
Idaho,2002,35213.9,1340372,26272
Idaho,2001,34059.4,1319962,25803
Idaho,2000,32667.0,1299430,25139
Idaho,1998,28498.1,1252330,22756
Idaho,1997,26370.0,1228520,21465
Idaho,1996,25263.8,1203083,20999
Idaho,1994,22134.2,1145140,19329
Idaho,1993,20689.5,1108768,18660
Idaho,1992,18881.9,1071685,17619
Idaho,1991,17199.2,1041316,16517
Idaho,1990,16343.3,1012384,16143
Idaho,1989,15124.5,994422,15209
Idaho,1987,12674.4,984997,12867
Idaho,1986,12165.6,990222,12286
Idaho,1983,10599.7,981866,10795
Idaho,1982,9694.1,973719,9956
Idaho,1981,9233.9,962204,9597
Idaho,1979,7467.5,932636,8007
Idaho,1978,6829.9,910962,7497
Idaho,1977,5942.3,883446,6726
Idaho,1975,4866.7,831981,5850
Idaho,1976,5436.2,856979,6343
Illinois,2023,890438.4,12549689,70953
