State,Year,GDP (Millions of dollars),Population (Number of persons),Personal Income (Dollars)
Montana,1987,10355.1,805064,12862
Montana,1986,10122.8,813738,12440
Montana,1983,9082.3,814029,11157
Montana,1982,8632.6,803984,10737
Montana,1981,8194.4,795325,10303
Montana,1979,6549.4,789167,8299
Montana,1978,6090.5,784043,7768
Montana,1977,5197.9,771354,6739
Montana,1976,4806.5,758521,6337
Montana,1975,4478.7,749208,5978
Nebraska,2023,134134.7,1978379,67800
Nebraska,1980,14766.4,1572296,9392
Nebraska,1984,21199.0,1588638,13344
Nebraska,2006,63317.2,1772693,35718
Nebraska,2017,95823.7,1934360,49538
Nebraska,1985,22345.0,1584661,14101
Nebraska,1974,8565.1,1537809,5570
Nebraska,1995,37383.3,1656992,22561
Nebraska,1999,46824.4,1704764,27467
Nebraska,2021,123080.5,1964253,62660
Nebraska,2010,75194.1,1830158,41086
Nebraska,1988,25708.4,1571477,16359
Nebraska,1975,9766.4,1541440,6336
Nebraska,1976,10217.4,1548901,6597
Nebraska,1977,11073.1,1554466,7123
Nebraska,1978,12810.9,1560826,8208
Nebraska,1979,13835.0,1564356,8844
Nebraska,1981,17139.1,1578517,10858
Nebraska,1982,18416.0,1581776,11643
Nebraska,1983,19059.9,1584293,12031
Nebraska,1986,22995.3,1574328,14606
Nebraska,1987,23979.7,1566544,15307
Nebraska,1990,29237.9,1581660,18486
Nebraska,1989,27277.1,1574858,17320
Nebraska,1991,30344.0,1595919,19014
Nebraska,1992,32191.2,1611687,19974
Nebraska,1993,33258.8,1625590,20460
Nebraska,1994,35389.6,1639041,21592
Nebraska,1996,40706.8,1673740,24321
Nebraska,1997,41958.2,1686418,24880
Nebraska,1998,44747.0,1695816,26387
Nebraska,2000,49570.3,1713820,28924
Nebraska,2001,51911.8,1719836,30184
Nebraska,2002,52804.3,1728292,30553
Nebraska,2003,56102.2,1738643,32268
Nebraska,2004,58597.2,1749370,33496
Nebraska,2005,60598.1,1761497,34401
Nebraska,2007,68098.6,1783440,38184
Nebraska,2008,72377.3,1796378,40291
Nebraska,2009,71459.7,1812683,39422
Nebraska,2011,84096.1,1843774,45611
Nebraska,2012,86235.9,1858886,46391
Nebraska,2013,86022.2,1873369,45918
Nebraska,2014,91084.5,1889916,48195
Nebraska,2015,94681.7,1904449,49716
Nebraska,2016,93559.7,1921360,48695
Nebraska,2018,100067.8,1945367,51439
Nebraska,2019,104489.9,1954927,53450
Nebraska,2020,111347.5,1963273,56715
Nebraska,2022,126473.5,1968060,64263
Nevada,1988,19826.3,1075023,18443
Nevada,2010,100750.4,2701967,37288
Nevada,2021,192006.1,3146632,61020
Nevada,1999,58623.6,1934718,30301
Nevada,1995,40075.5,1581578,25339
Nevada,1974,4025.2,596713,6746
Nevada,1985,14791.3,951032,15553
Nevada,2017,138847.0,2955631,46977
Nevada,2006,99485.1,2522658,39437
Nevada,1984,13634.3,924921,14741
Nevada,1980,9681.4,810215,11949
Nevada,2023,208159.0,3194176,65168
Nevada,2022,197290.9,3177421,62092
Nevada,2019,159292.9,3068943,51905
Nevada,2020,170269.2,3115840,54646
Nevada,2018,148408.1,3011627,49278
Nevada,2016,129879.1,2905604,44700
Nevada,2015,125088.6,2857017,43783
Nevada,2014,115514.1,2809771,41112
Nevada,2013,108914.4,2770049,39319
Nevada,2012,108696.1,2739941,39671
Nevada,2011,104596.4,2710520,38589
Nevada,2009,96982.8,2684665,36125
Nevada,2008,102535.9,2653630,38640
Nevada,2007,103706.0,2601072,39870
Nevada,2005,92194.1,2432143,37907
Nevada,2004,82524.7,2346222,35173
Nevada,2003,74518.4,2248850,33136
Nevada,2002,69952.7,2173791,32180
Nevada,2001,68026.7,2098399,32418
Nevada,2000,64312.6,2018741,31858
Nevada,1998,54217.2,1853191,29256
Nevada,1997,48450.2,1764104,27464
Nevada,1996,44336.7,1666320,26608
Nevada,1994,36442.3,1499298,24306
Nevada,1993,32932.9,1411215,23337
Nevada,1992,30459.9,1351367,22540
Nevada,1991,27543.6,1296171,21250
Nevada,1989,22328.9,1137382,19632
Nevada,1990,25039.2,1220695,20512
Nevada,1987,17407.0,1023374,17009
Nevada,1986,15979.1,980614,16295
Nevada,1983,12530.8,901978,13893
Nevada,1982,11752.7,881538,13332
Nevada,1981,10998.2,847656,12975
Nevada,1979,8372.0,765121,10942
Nevada,1978,7225.7,719345,10045
Nevada,1977,5977.9,678134,8815
Nevada,1976,5170.5,646823,7994
Nevada,1975,4544.0,619847,7331
New Hampshire,2023,108323.1,1402054,77260
New Hampshire,1980,9281.8,924250,10043
New Hampshire,1984,14352.9,976863,14693
New Hampshire,2006,56084.9,1308389,42866
New Hampshire,2017,78661.0,1358984,57882
New Hampshire,1985,15831.0,996753,15883
New Hampshire,1974,4417.2,817073,5406
New Hampshire,1995,29176.0,1157561,25205
New Hampshire,2021,100196.8,1387494,72214
New Hampshire,1999,38930.2,1222014,31857
New Hampshire,2010,61880.9,1317094,46983
New Hampshire,1988,21307.5,1082576,19682
New Hampshire,1975,4802.3,830025,5786
New Hampshire,1976,5436.0,847025,6418
New Hampshire,1977,6146.4,871860,7050
New Hampshire,1978,7090.7,893974,7932
New Hampshire,1979,8112.5,911893,8896
New Hampshire,1981,10505.8,936621,11217
New Hampshire,1982,11561.6,947720,12199
New Hampshire,1983,12714.4,958134,13270
New Hampshire,1986,17499.7,1025054,17072
New Hampshire,1987,19284.8,1054289,18292
New Hampshire,1989,22825.3,1104523,20665
New Hampshire,1990,23005.0,1112384,20681
New Hampshire,1991,23818.2,1109929,21459
New Hampshire,1992,24951.9,1117784,22323
New Hampshire,1993,25765.2,1129458,22812
New Hampshire,1994,27503.1,1142560,24071
New Hampshire,1996,30892.6,1174719,26298
New Hampshire,1997,33286.1,1189425,27985
New Hampshire,1998,36597.5,1205940,30348
New Hampshire,2000,43796.1,1239882,35323
New Hampshire,2001,46179.9,1255517,36782
New Hampshire,2002,46972.3,1269089,37013
New Hampshire,2003,47833.0,1279840,37374
New Hampshire,2004,50733.0,1290121,39324
New Hampshire,2005,52464.3,1298492,40404
New Hampshire,2007,58305.5,1312540,44422
New Hampshire,2008,60153.8,1315906,45713
New Hampshire,2009,59381.5,1316102,45119
New Hampshire,2011,64888.9,1321886,49088
New Hampshire,2012,67318.1,1327287,50719
New Hampshire,2013,67121.8,1331050,50428
New Hampshire,2014,69630.5,1339224,51993
New Hampshire,2015,72779.6,1343633,54166
New Hampshire,2016,75229.0,1351059,55681
New Hampshire,2018,82353.7,1364875,60338
New Hampshire,2019,87706.3,1371834,63934
New Hampshire,2020,93582.0,1378702,67877
New Hampshire,2022,103121.9,1399003,73711
New Jersey,1988,170480.9,7712333,22105
New Jersey,2010,448931.1,8809058,50962
New Jersey,1999,299723.8,8359592,35854
New Jersey,2021,705095.2,9269175,76069
New Jersey,1995,238901.9,8083242,29555
New Jersey,1974,48945.2,7335227,6673
New Jersey,1985,134484.9,7565530,17776
New Jersey,2017,566237.1,9174898,61716
New Jersey,2006,410264.9,8661679,47366
New Jersey,1984,125385.4,7515474,16684
New Jersey,1980,87084.5,7376330,11806
New Jersey,1975,52877.7,7341417,7203
New Jersey,1976,57408.9,7344079,7817
New Jersey,1977,62802.1,7342027,8554
New Jersey,1978,69699.1,7356414,9475
New Jersey,1979,77369.0,7373048,10493
New Jersey,1981,97168.4,7407471,13118
New Jersey,1982,104981.0,7430970,14127
New Jersey,1983,113460.8,7467784,15193
New Jersey,1986,143990.7,7622161,18891
New Jersey,1987,154710.5,7670741,20169
New Jersey,1989,182884.1,7726086,23671
New Jersey,1990,192170.9,7762963,24755
New Jersey,1991,196169.7,7814676,25103
New Jersey,1992,210398.5,7880508,26699
New Jersey,1993,217404.1,7948915,27350
New Jersey,1994,225066.9,8014306,28083
New Jersey,1996,252630.7,8149596,30999
New Jersey,1997,268793.4,8218808,32705
New Jersey,1998,286580.2,8287418,34580
New Jersey,2000,329591.8,8430621,39095
New Jersey,2001,341308.9,8492671,40189
New Jersey,2002,345988.7,8552643,40454
New Jersey,2003,354097.7,8601402,41167
New Jersey,2004,369770.9,8634561,42825
New Jersey,2005,382749.3,8651974,44238
New Jersey,2007,435048.7,8677885,50133
New Jersey,2008,449545.4,8711090,51606
New Jersey,2009,436271.4,8755602,49828
New Jersey,2011,469252.9,8876959,52862
New Jersey,2012,484600.0,8933292,54247
New Jersey,2013,488591.3,8984801,54380
New Jersey,2014,509357.6,9033845,56383
New Jersey,2015,530303.1,9076577,58425
New Jersey,2016,545301.7,9119862,59793
New Jersey,2018,591910.4,9218858,64206
New Jersey,2019,624819.8,9258804,67484
New Jersey,2020,657894.4,9272392,70952
New Jersey,2022,714990.2,9260817,77206
New Jersey,2023,749992.8,9290841,80724
New Mexico,2022,110303.0,2113476,52190
New Mexico,1980,11324.7,1309400,8649
New Mexico,1984,16451.1,1416719,11612
New Mexico,2006,59713.7,1962137,30433
New Mexico,2017,82354.1,2101053,39197
New Mexico,1985,17812.0,1438360,12384
New Mexico,1974,5487.3,1129568,4858
New Mexico,1995,33016.9,1720394,19191
New Mexico,2021,108248.3,2116950,51134
New Mexico,1999,38915.1,1808082,21523
New Mexico,2010,69499.8,2064892,33658
New Mexico,1988,20380.1,1490336,13675
New Mexico,2023,115081.7,2114371,54428
New Mexico,2013,73079.8,2096509,34858
New Mexico,2016,80782.3,2099630,38475
New Mexico,2015,79130.8,2096003,37753
New Mexico,2014,77266.0,2095037,36880
New Mexico,2020,98783.2,2118488,46629
New Mexico,2019,91139.6,2110146,43191
New Mexico,2018,86179.5,2103101,40977
New Mexico,2012,74610.8,2090254,35695
New Mexico,2011,73017.7,2082110,35069
New Mexico,2009,67011.8,2036802,32901
New Mexico,2008,67462.4,2010662,33552
New Mexico,2007,63243.6,1990070,31780
New Mexico,2005,55540.8,1932274,28744
New Mexico,2004,52099.7,1903808,27366
New Mexico,2003,49019.7,1877574,26108
New Mexico,2002,46821.7,1855309,25237
New Mexico,2001,44958.8,1831690,24545
New Mexico,2000,41922.3,1821204,23019
New Mexico,1998,38233.1,1793484,21318
New Mexico,1997,36399.5,1774839,20509
New Mexico,1996,34664.7,1752326,19782
New Mexico,1994,30728.2,1682398,18265
New Mexico,1993,28793.3,1636453,17595
New Mexico,1992,26778.3,1595442,16784
New Mexico,1991,24953.5,1555305,16044
New Mexico,1990,23292.2,1521574,15308
New Mexico,1989,21827.3,1503901,14514
New Mexico,1987,19235.8,1478519,13010
New Mexico,1986,18512.0,1462728,12656
New Mexico,1983,15086.7,1394362,10820
New Mexico,1982,14010.6,1363822,10273
New Mexico,1981,12789.8,1332747,9597
New Mexico,1979,10087.3,1280539,7877
New Mexico,1978,8947.8,1251848,7148
New Mexico,1977,7819.8,1225245,6382
New Mexico,1976,6987.4,1195162,5846
New Mexico,1975,6267.9,1162682,5391
New York,2023,1557495.9,19571216,79581
New York,1988,373424.0,17941309,20814
New York,2010,943392.7,19419964,48579
New York,1999,635242.7,18882725,33641
New York,2021,1508135.1,19854526,75959
New York,1995,510311.7,18524104,27549
New York,1974,118064.6,18072768,6533
New York,1985,298925.0,17791678,16801
New York,2017,1255776.7,20190489,62196
New York,2006,836022.6,19104631,43760
New York,1984,279066.4,17745676,15726
New York,1980,193336.3,17566754,11006
New York,1975,127413.9,18032254,7066
New York,1976,134980.8,17974654,7510
New York,1977,145640.4,17851507,8158
New York,1978,158583.7,17720421,8949
New York,1979,173371.7,17633646,9832
New York,1981,215436.6,17567731,12263
New York,1982,234154.7,17589737,13312
New York,1983,252718.7,17686907,14288
New York,1986,319273.0,17833421,17903
New York,1987,339348.1,17868844,18991
New York,1989,403530.1,17983084,22439
New York,1990,432353.7,18020784,23992
New York,1991,433087.8,18122510,23898
New York,1992,457070.9,18246653,25050
New York,1993,469679.1,18374954,25561
New York,1994,484265.8,18459470,26234
New York,1996,536942.3,18588460,28886
New York,1997,567116.5,18656546,30398
New York,1998,600087.2,18755906,31995
New York,2000,683214.3,19001780,35955
New York,2001,709417.6,19082838,37176
New York,2002,707561.1,19137800,36972
New York,2003,717555.3,19175939,37420
New York,2004,749469.3,19171567,39093
New York,2005,777653.2,19132610,40645
New York,2007,899609.9,19132335,47020
New York,2008,920456.5,19212436,47909
New York,2009,906188.3,19307066,46936
New York,2011,995231.4,19600908,50775
New York,2012,1039791.6,19757479,52628
New York,2018,1298669.0,20222664,64218
New York,2019,1343066.3,20222325,66415
New York,2020,1405028.8,20104710,69886
New York,2022,1483802.3,19673200,75423
New York,2014,1090000.8,20002008,54495
New York,2015,1137082.3,20088855,56603
New York,2016,1176654.7,20150838,58392
New York,2013,1051798.1,19892169,52875
North Carolina,1980,49256.2,5898980,8350
North Carolina,1984,73042.5,6164004,11850
North Carolina,2006,304872.7,8917270,34189
North Carolina,2017,449817.7,10175266,44207
North Carolina,1985,78975.6,6253957,12628
North Carolina,1974,26653.9,5461112,4881
North Carolina,1995,161278.5,7344674,21959
North Carolina,2021,599133.5,10567100,56698
North Carolina,1999,207943.0,7949361,26158
North Carolina,2010,343104.3,9571353,35847
North Carolina,1988,100512.0,6480591,15510
North Carolina,2023,655369.3,10835491,60484
North Carolina,2013,373140.6,9803434,38062
North Carolina,2016,429054.9,10076064,42582
North Carolina,2015,414760.4,9966060,41617
North Carolina,2014,393886.1,9880220,39866
North Carolina,2022,621705.6,10695965,58125
North Carolina,2020,541078.0,10453812,51759
North Carolina,2019,501587.2,10370550,48366
North Carolina,2018,473093.3,10275806,46040
North Carolina,2012,377867.2,9722105,38867
North Carolina,2011,355001.6,9642580,36816
North Carolina,2009,339441.5,9449566,35921
North Carolina,2008,351637.5,9309449,37772
North Carolina,2007,327886.5,9118037,35960
North Carolina,2005,280391.8,8705407,32209
North Carolina,2004,261603.4,8553152,30586
North Carolina,2003,241805.1,8422501,28709
North Carolina,2002,231930.9,8326201,27856
North Carolina,2001,228090.9,8210122,27782
North Carolina,2000,221516.2,8081614,27410
North Carolina,1998,198232.0,7809121,25385
North Carolina,1997,185209.4,7656825,24189
North Carolina,1996,172515.8,7500670,23000
North Carolina,1994,150419.5,7187398,20928
North Carolina,1993,141327.2,7042818,20067
North Carolina,1992,132578.4,6897214,19222
North Carolina,1991,121968.5,6784280,17978
North Carolina,1990,116495.2,6664016,17481
North Carolina,1989,109591.5,6565462,16692
North Carolina,1987,91578.6,6403693,14301
North Carolina,1986,85149.3,6321576,13470
North Carolina,1982,59374.7,6019108,9864
North Carolina,1983,64651.8,6077059,10639
North Carolina,1981,55448.4,5956653,9309
North Carolina,1979,43906.8,5801563,7568
North Carolina,1978,39736.2,5740286,6922
North Carolina,1977,35208.1,5668494,6211
North Carolina,1976,32132.3,5593463,5745
North Carolina,1975,28942.8,5535097,5229
North Dakota,2023,57494.1,783926,73341
North Dakota,1988,8460.8,655330,12911
North Dakota,2010,29758.8,675054,44084
North Dakota,1999,15257.9,644259,23683
North Dakota,2021,51261.7,777982,65891
North Dakota,1995,12552.3,647832,19376
North Dakota,1974,3998.2,634212,6304
North Dakota,1985,8743.0,676979,12915
North Dakota,2017,39743.7,766673,51839
North Dakota,2006,21508.5,649422,33120
North Dakota,1984,8456.5,680499,12427
North Dakota,1980,5274.0,654380,8059
North Dakota,1975,4181.5,638469,6549
North Dakota,1976,4101.9,645293,6357
North Dakota,1977,4261.1,649168,6564
North Dakota,1978,5357.9,650648,8235
North Dakota,1979,5507.8,652152,8446
North Dakota,1981,6904.3,659504,10469
North Dakota,1983,7838.2,676687,11583
North Dakota,1982,7454.9,668972,11144
North Dakota,1986,8871.0,669513,13250
North Dakota,1987,9105.9,661141,13773
North Dakota,1989,9472.8,646351,14656
North Dakota,1990,10256.3,637685,16084
North Dakota,1991,10401.9,635753,16362
North Dakota,1992,11385.0,638223,17839
North Dakota,1993,11536.4,641216,17991
North Dakota,1994,12531.7,644804,19435
North Dakota,1996,14037.6,650382,21584
North Dakota,1997,13770.1,649716,21194
North Dakota,1998,15078.7,647532,23286
North Dakota,2000,16591.1,642023,25842
North Dakota,2001,16930.7,639062,26493
North Dakota,2002,17356.1,638168,27197
North Dakota,2003,18949.5,638817,29663
North Dakota,2004,19330.9,644705,29984
North Dakota,2005,20501.4,646089,31731
North Dakota,2007,23828.8,652822,36501
North Dakota,2008,26942.6,657569,40973
North Dakota,2009,26722.1,664968,40186
North Dakota,2011,33588.0,687065,48886
North Dakota,2012,39538.6,705071,56077
North Dakota,2018,42565.9,771407,55180
North Dakota,2019,43968.2,776516,56622
North Dakota,2020,47621.4,779563,61087
North Dakota,2022,54828.5,778912,70391
North Dakota,2014,42181.3,744395,56665
North Dakota,2015,40408.2,762693,52981
North Dakota,2016,39232.0,764650,51307
North Dakota,2013,39538.7,727382,54358
Ohio,1980,107224.4,10800650,9928
Ohio,1984,142495.9,10737743,13271
Ohio,2006,390090.0,11481213,33976
Ohio,2017,541289.4,11737605,46116
Ohio,1985,151344.8,10734926,14098
Ohio,1974,61925.2,10765613,5752
Ohio,1995,254778.3,11202751,22742
Ohio,2021,670872.7,11765227,57022
Ohio,1999,307407.0,11335454,27119
Ohio,2010,422204.4,11541886,36580
Ohio,1988,178136.8,10798554,16496
Ohio,2023,711894.8,11785935,60402
Ohio,2013,473218.8,11611630,40754
Ohio,2016,521622.5,11701886,44576
Ohio,2014,492475.6,11648446,42278
Ohio,2015,511339.8,11674128,43801
Ohio,2022,679233.0,11759697,57759
Ohio,2020,623836.0,11798292,52875
Ohio,2019,582400.4,11788547,49404
Ohio,2018,562523.0,11762842,47822
Ohio,2012,466162.1,11573024,40280
Ohio,2011,449923.8,11557958,38928
Ohio,2009,410350.4,11528896,35593
Ohio,2008,422085.7,11515391,36654
Ohio,2007,406786.5,11500468,35371
Ohio,2005,371633.8,11463320,32419
Ohio,2004,361753.0,11452251,31588
Ohio,2003,348428.7,11434788,30471
Ohio,2002,338462.5,11407889,29669
Ohio,2001,333209.3,11387404,29261
Ohio,2000,323812.5,11363543,28496
Ohio,1998,298491.4,11311536,26388
Ohio,1997,282199.0,11277357,25024
Ohio,1996,266670.2,11242827,23719
Ohio,1994,243075.2,11152454,21796
Ohio,1993,230183.6,11101140,20735
Ohio,1992,221074.9,11029431,20044
Ohio,1991,207868.4,10945762,18991
Ohio,1990,202968.1,10864162,18682
Ohio,1989,191537.1,10829216,17687
Ohio,1987,165483.9,10760081,15379
Ohio,1986,158418.4,10730272,14764
Ohio,1982,122010.4,10757085,11342
Ohio,1983,129165.2,10737631,12029
Ohio,1981,116584.4,10788336,10807
Ohio,1979,98139.9,10798562,9088
Ohio,1978,88854.7,10795431,8231
Ohio,1977,80397.2,10771232,7464
Ohio,1976,72597.5,10752731,6752
Ohio,1975,66162.2,10770498,6143
Oklahoma,2023,237145.0,4053824,58499
Oklahoma,1988,45584.7,3167064,14393
Oklahoma,2010,139695.1,3759581,37157
Oklahoma,1999,76956.5,3437147,22390
Oklahoma,2021,220176.5,3991634,55159
Oklahoma,1995,63357.6,3308208,19152
Oklahoma,1974,14079.6,2732454,5153
Oklahoma,1985,43595.2,3271333,13326
Oklahoma,2017,171995.4,3920455,43871
Oklahoma,2006,124536.5,3594090,34650
Oklahoma,1984,41896.9,3285535,12752
Oklahoma,1980,29287.0,3040758,9631
Oklahoma,1975,15735.7,2771858,5677
Oklahoma,1976,17348.7,2823396,6145
Oklahoma,1977,19295.9,2865935,6733
Oklahoma,1978,21896.0,2913056,7517
Oklahoma,1979,25413.8,2970080,8557
Oklahoma,1981,34192.5,3096159,11044
Oklahoma,1983,39089.0,3290404,11880
Oklahoma,1982,38159.4,3206129,11902
Oklahoma,1986,43867.7,3252735,13486
Oklahoma,1987,43620.1,3210124,13588
Oklahoma,1989,48472.4,3150304,15387
Oklahoma,1990,51112.1,3148825,16232
Oklahoma,1991,52723.7,3175440,16604
Oklahoma,1992,56001.4,3220517,17389
Oklahoma,1993,58201.0,3252285,17895
Oklahoma,1994,60763.0,3280940,18520
Oklahoma,1996,67111.4,3340129,20092
Oklahoma,1997,71071.4,3372917,21071
Oklahoma,1998,74943.6,3405194,22009
Oklahoma,2000,83332.1,3454365,24124
Oklahoma,2001,88609.5,3467100,25557
Oklahoma,2002,90711.6,3489080,25999
Oklahoma,2003,95275.7,3504892,27184
Oklahoma,2004,102917.3,3525233,29194
Oklahoma,2005,112487.6,3548597,31699
Oklahoma,2007,128994.3,3634349,35493
Oklahoma,2008,143654.9,3668976,39154
Oklahoma,2009,133218.3,3717572,35835
Oklahoma,2011,150302.0,3786640,39693
Oklahoma,2012,159875.4,3815353,41903
Oklahoma,2018,180824.0,3928494,46029
Oklahoma,2019,189981.3,3943796,48172
Oklahoma,2020,199233.2,3965234,50245
Oklahoma,2022,226308.0,4019271,56306
Oklahoma,2015,172726.3,3901051,44277
Oklahoma,2014,177635.7,3871583,45882
Oklahoma,2016,164709.0,3916821,42052
Oklahoma,2013,167796.9,3848112,43605
Oregon,1980,27037.6,2641218,10237
Oregon,1984,34539.9,2666589,12953
Oregon,2006,126600.1,3670883,34488
Oregon,2017,197262.3,4147186,47565
Oregon,1985,36298.4,2672648,13581
Oregon,1974,13431.8,2280956,5889
Oregon,1995,72043.8,3184369,22624
Oregon,2021,262382.4,4256465,61643
Oregon,1999,89931.4,3393941,26498
Oregon,2010,137926.3,3837611,35941
Oregon,1988,43729.9,2741297,15952
Oregon,2023,276972.8,4233358,65426
Oregon,2013,154851.2,3924064,39462
Oregon,2016,186105.0,4093179,45467
Oregon,2014,165171.9,3965387,41653
Oregon,2015,177478.1,4018466,44166
Oregon,2022,264173.8,4239379,62314
Oregon,2020,239862.5,4245044,56504
Oregon,2019,219982.7,4215976,52178
Oregon,2018,210044.9,4183414,50209
Oregon,2012,152601.5,3900071,39128
Oregon,2011,145345.1,3872655,37531
Oregon,2009,134391.8,3808600,35286
Oregon,2008,138899.9,3768748,36856
Oregon,2007,132605.6,3722417,35624
Oregon,2005,116073.4,3613202,32125
Oregon,2004,110580.7,3569463,30980
Oregon,2003,104729.6,3547376,29523
Oregon,2002,101042.1,3513424,28759
Oregon,2001,99785.7,3467937,28774
Oregon,1998,86877.8,3352449,25915
Oregon,2000,96913.7,3429708,28257
Oregon,1997,82276.6,3304310,24900
Oregon,1996,77668.5,3247111,23919
Oregon,1994,66933.2,3121264,21444
Oregon,1993,62515.8,3060367,20428
Oregon,1992,58422.1,2991755,19528
Oregon,1991,54721.7,2928507,18686
Oregon,1990,51925.0,2860375,18153
Oregon,1989,48034.4,2790579,17213
Oregon,1987,40028.8,2700996,14820
Oregon,1986,38195.5,2683526,14233
Oregon,1982,29990.2,2664919,11254
Oregon,1983,31912.9,2653071,12029
Oregon,1981,29153.8,2667985,10927
Oregon,1979,24389.9,2578312,9460
Oregon,1978,21563.4,2509609,8592
Oregon,1977,18812.4,2439355,7712
Oregon,1976,16821.7,2372155,7091
Oregon,1975,14919.7,2324622,6418
Pennsylvania,2023,879310.1,12961683,67839
Pennsylvania,1988,203001.5,11845755,17137
Pennsylvania,2010,535335.5,12716521,42098
Pennsylvania,1999,348489.2,12263805,28416
Pennsylvania,2021,833322.0,13013614,64035
Pennsylvania,1995,287343.8,12198403,23556
Pennsylvania,1974,68133.2,11863936,5743
Pennsylvania,1985,168297.9,11770865,14298
Pennsylvania,2017,671702.8,12945337,51888
Pennsylvania,2006,472940.6,12510809,37803
Pennsylvania,1984,158758.8,11815175,13437
Pennsylvania,1980,119133.9,11868305,10038
Pennsylvania,1975,74472.7,11897778,6259
Pennsylvania,1976,81283.2,11887478,6838
Pennsylvania,1977,89174.1,11881857,7505
Pennsylvania,1978,98272.0,11864774,8283
Pennsylvania,1979,108710.1,11873563,9156
Pennsylvania,1981,131383.6,11858569,11079
Pennsylvania,1982,140328.3,11845146,11847
Pennsylvania,1983,147211.7,11837726,12436
Pennsylvania,1986,177003.2,11782754,15022
Pennsylvania,1987,186827.6,11810869,15818
Pennsylvania,1989,219827.0,11865992,18526
Pennsylvania,1990,232899.9,11903299,19566
Pennsylvania,1991,242842.8,11982164,20267
Pennsylvania,1992,255911.5,12049450,21238
Pennsylvania,1993,265557.2,12119724,21911
Pennsylvania,1994,274855.9,12166050,22592
Pennsylvania,1996,301835.6,12220464,24699
Pennsylvania,1997,317130.5,12227814,25935
Pennsylvania,2000,372690.7,12284173,30339
Pennsylvania,1998,334421.8,12245672,27309
Pennsylvania,2001,388186.3,12298970,31563
Pennsylvania,2002,395633.3,12331031,32084
Pennsylvania,2003,409185.8,12374658,33066
Pennsylvania,2004,432634.7,12410722,34860
Pennsylvania,2005,450359.7,12449990,36173
Pennsylvania,2007,502658.8,12563937,40008
Pennsylvania,2008,522993.8,12612285,41467
Pennsylvania,2009,512318.2,12666858,40446
Pennsylvania,2011,563528.9,12772774,44120
Pennsylvania,2012,584880.3,12815609,45638
Pennsylvania,2018,707043.4,12980864,54468
Pennsylvania,2019,729142.3,12991448,56125
Pennsylvania,2020,783825.6,12995477,60315
Pennsylvania,2022,836778.3,12972091,64506
Pennsylvania,2015,635818.0,12898688,49293
Pennsylvania,2014,611421.7,12880463,47469
Pennsylvania,2016,653328.9,12918191,50574
Pennsylvania,2013,589720.2,12846775,45904
Rhode Island,1980,9393.4,948773,9901
Rhode Island,1984,13361.0,961895,13890
Rhode Island,2006,41162.0,1063096,38719
Rhode Island,2017,54704.3,1084914,50423
Rhode Island,1985,14402.4,968956,14864
Rhode Island,1974,5288.9,953503,5547
Rhode Island,1995,24279.0,1017002,23873
Rhode Island,2021,69837.3,1097092,63657
Rhode Island,1999,29581.1,1040402,28432
Rhode Island,2010,44973.9,1054954,42631
Rhode Island,1988,18223.0,996407,18289
Rhode Island,2023,72859.1,1095962,66480
Rhode Island,2013,48187.0,1068168,45112
Rhode Island,2016,52514.5,1082251,48523
Rhode Island,2014,50045.1,1073041,46639
Rhode Island,2015,51775.2,1077348,48058
Rhode Island,2022,69514.2,1093842,63551
Rhode Island,2020,64756.6,1096444,59061
Rhode Island,2019,60313.6,1094524,55105
Rhode Island,2018,56918.9,1091751,52135
Rhode Island,2012,48186.5,1063602,45305
Rhode Island,2011,46685.4,1058647,44099
Rhode Island,2009,42764.9,1053646,40588
Rhode Island,2008,43768.6,1055003,41487
Rhode Island,2007,42935.2,1057315,40608
Rhode Island,2005,39241.3,1067916,36746
Rhode Island,2004,38541.5,1074579,35867
Rhode Island,2003,36700.2,1071342,34256
Rhode Island,2002,34965.7,1065995,32801
Rhode Island,2001,33611.8,1057142,31795
Rhode Island,1998,28349.7,1031155,27493
Rhode Island,2000,31875.3,1050268,30350
Rhode Island,1997,26554.3,1025353,25898
Rhode Island,1996,25113.2,1020893,24599
Rhode Island,1994,23050.7,1015960,22689
Rhode Island,1993,22483.7,1015112,22149
Rhode Island,1992,21572.6,1012581,21305
Rhode Island,1991,20648.3,1010649,20431
Rhode Island,1990,20430.4,1005995,20309
Rhode Island,1989,19829.2,1000666,19816
Rhode Island,1987,16481.7,989605,16655
Rhode Island,1986,15441.4,977340,15799
Rhode Island,1983,12185.5,956382,12741
Rhode Island,1982,11258.5,954170,11799
Rhode Island,1981,10455.1,953012,10971
Rhode Island,1979,8362.7,956643,8742
Rhode Island,1978,7531.2,957237,7868
Rhode Island,1977,6864.9,955128,7187
Rhode Island,1976,6272.4,950321,6600
Rhode Island,1975,5742.4,946339,6068
South Carolina,2023,301581.1,5373555,56123
South Carolina,1988,48206.1,3412097,14128
South Carolina,2010,151745.9,4633890,32747
South Carolina,1999,94148.5,3974682,23687
South Carolina,2021,274347.8,5193848,52822
South Carolina,1995,73997.4,3748582,19740
South Carolina,1974,13234.6,2843199,4655
South Carolina,1985,38691.6,3303211,11713
South Carolina,2017,210387.6,4965753,42368
South Carolina,2006,134174.2,4357847,30789
South Carolina,1984,36148.9,3271864,11048
South Carolina,1980,24971.8,3134502,7967
