State,Year,January-December Cooling Degree Days (Units Fahrenheit Degree-Days)
Michigan,2016,771
Michigan,2017,561
Michigan,2018,778
Michigan,2019,634
Michigan,2020,699
Michigan,2021,762
Michigan,2022,669
Michigan,2023,524
Minnesota,1974,404
Minnesota,1975,489
Minnesota,1976,524
Minnesota,1977,480
Minnesota,1978,423
Minnesota,1979,336
Minnesota,1980,461
Minnesota,1981,382
Minnesota,1982,374
Minnesota,1983,611
Minnesota,1984,455
Minnesota,1985,301
Minnesota,1986,394
Minnesota,1987,574
Minnesota,1988,740
Minnesota,1989,473
Minnesota,1990,411
Minnesota,1991,511
Minnesota,1992,195
Minnesota,1993,300
Minnesota,1994,367
Minnesota,1995,525
Minnesota,1996,361
Minnesota,1997,384
Minnesota,1998,515
Minnesota,1999,483
Minnesota,2000,395
Minnesota,2001,522
Minnesota,2002,532
Minnesota,2003,467
Minnesota,2004,278
Minnesota,2005,554
Minnesota,2006,578
Minnesota,2007,552
Minnesota,2008,394
Minnesota,2009,295
Minnesota,2010,542
Minnesota,2011,534
Minnesota,2012,637
Minnesota,2013,453
Minnesota,2014,395
Minnesota,2015,466
Minnesota,2016,508
Minnesota,2017,401
Minnesota,2018,557
Minnesota,2019,436
Minnesota,2020,552
Minnesota,2021,651
Minnesota,2022,496
Minnesota,2023,578
Mississippi,1974,1837
Mississippi,1975,1894
Mississippi,1976,1672
Mississippi,1977,2276
Mississippi,1978,2157
Mississippi,1979,1871
Mississippi,1980,2272
Mississippi,1981,2091
Mississippi,1982,2028
Mississippi,1983,1868
Mississippi,1984,1938
Mississippi,1985,2105
Mississippi,1986,2267
Mississippi,1987,2073
Mississippi,1988,1979
Mississippi,1989,1834
Mississippi,1990,2136
Mississippi,1991,2180
Mississippi,1992,1780
Mississippi,1993,2008
Mississippi,1994,1923
Mississippi,1995,2119
Mississippi,1996,1968
Mississippi,1997,1927
Mississippi,1998,2527
Mississippi,1999,2225
Mississippi,2000,2329
Mississippi,2001,1992
Mississippi,2002,2226
Mississippi,2003,2038
Mississippi,2004,2082
Mississippi,2005,2167
Mississippi,2006,2266
Mississippi,2007,2314
Mississippi,2008,2012
Mississippi,2009,2086
Mississippi,2010,2501
Mississippi,2011,2295
Mississippi,2012,2295
Mississippi,2013,1998
Mississippi,2014,1992
Mississippi,2015,2380
Mississippi,2016,2497
Mississippi,2017,2157
Mississippi,2018,2467
Mississippi,2019,2428
Mississippi,2020,2262
Mississippi,2021,2174
Mississippi,2022,2337
Mississippi,2023,2564
Missouri,1974,1045
Missouri,1975,1231
Missouri,1976,1059
Missouri,1977,1443
Missouri,1978,1294
Missouri,1979,1092
Missouri,1980,1636
Missouri,1981,1166
Missouri,1982,1076
Missouri,1983,1428
Missouri,1984,1168
Missouri,1985,1087
Missouri,1986,1368
Missouri,1987,1433
Missouri,1988,1404
Missouri,1989,1001
Missouri,1990,1201
Missouri,1991,1406
Missouri,1992,862
Missouri,1993,1138
Missouri,1994,1102
Missouri,1995,1199
Missouri,1996,1055
Missouri,1997,1083
Missouri,1998,1462
Missouri,1999,1248
Missouri,2000,1312
Missouri,2001,1275
Missouri,2002,1352
Missouri,2003,1169
Missouri,2004,993
Missouri,2005,1422
Missouri,2006,1330
Missouri,2007,1497
Missouri,2008,1085
Missouri,2009,979
Missouri,2010,1513
Missouri,2011,1438
Missouri,2012,1607
Missouri,2013,1145
Missouri,2014,1106
Missouri,2015,1271
Missouri,2016,1486
Missouri,2017,1248
Missouri,2018,1598
Missouri,2019,1339
Missouri,2020,1222
Missouri,2021,1378
Missouri,2022,1399
Missouri,2023,1350
Montana,1974,148
Montana,1975,142
Montana,1976,155
Montana,1977,131
Montana,1978,100
Montana,1979,170
Montana,1980,119
Montana,1981,167
Montana,1982,127
Montana,1983,204
Montana,1984,195
Montana,1985,174
Montana,1986,160
Montana,1987,128
Montana,1988,271
Montana,1989,176
Montana,1990,197
Montana,1991,225
Montana,1992,91
Montana,1993,41
Montana,1994,210
Montana,1995,129
Montana,1996,188
Montana,1997,156
Montana,1998,274
Montana,1999,151
Montana,2000,215
Montana,2001,256
Montana,2002,187
Montana,2003,312
Montana,2004,129
Montana,2005,169
Montana,2006,279
Montana,2007,326
Montana,2008,164
Montana,2009,152
Montana,2010,122
Montana,2011,203
Montana,2012,290
Montana,2013,251
Montana,2014,187
Montana,2015,228
Montana,2016,180
Montana,2017,279
Montana,2018,171
Montana,2019,147
Montana,2020,202
Montana,2021,341
Montana,2022,313
Montana,2023,235
Nebraska,1974,933
Nebraska,1975,1012
Nebraska,1976,993
Nebraska,1977,1125
Nebraska,1978,1001
Nebraska,1979,884
Nebraska,1980,1205
Nebraska,1981,945
Nebraska,1982,843
Nebraska,1983,1201
Nebraska,1984,985
Nebraska,1985,805
Nebraska,1986,1007
Nebraska,1987,1060
Nebraska,1988,1240
Nebraska,1989,882
Nebraska,1990,1003
Nebraska,1991,1103
Nebraska,1992,597
Nebraska,1993,734
Nebraska,1994,914
Nebraska,1995,982
Nebraska,1996,767
Nebraska,1997,927
Nebraska,1998,1125
Nebraska,1999,917
Nebraska,2000,1127
Nebraska,2001,1081
Nebraska,2002,1216
Nebraska,2003,983
Nebraska,2004,811
Nebraska,2005,1154
Nebraska,2006,1088
Nebraska,2007,1175
Nebraska,2008,893
Nebraska,2009,707
Nebraska,2010,1086
Nebraska,2011,1028
Nebraska,2012,1311
Nebraska,2013,1006
Nebraska,2014,835
Nebraska,2015,965
Nebraska,2016,1112
Nebraska,2017,1002
Nebraska,2018,1116
Nebraska,2019,1028
Nebraska,2020,1093
Nebraska,2021,1173
