State,Year,January-December Precipitation (Units Inches)
Indiana,1985,45.45
Indiana,1986,39.66
Indiana,1987,34.87
Indiana,1988,34.25
Indiana,1989,43.42
Indiana,1990,53.54
Indiana,1991,36.31
Indiana,1992,40.34
Indiana,1993,48.59
Indiana,1994,35.56
Indiana,1995,38.26
Indiana,1996,47.67
Indiana,1997,39.8
Indiana,1998,44.88
Indiana,1999,35.04
Indiana,2000,43.4
Indiana,2001,43.96
Indiana,2002,42.19
Indiana,2003,46.4
Indiana,2004,43.4
Indiana,2005,40.89
Indiana,2006,51.02
Indiana,2007,41.79
Indiana,2008,49.69
Indiana,2009,46.06
Indiana,2010,37.39
Indiana,2011,55.19
Indiana,2012,33.82
Indiana,2013,45.14
Indiana,2014,43.57
Indiana,2015,47.51
Indiana,2016,43.38
Indiana,2017,45.61
Indiana,2018,50.03
Indiana,2019,49.52
Indiana,2020,42.4
Indiana,2021,45.45
Indiana,2022,38.18
Indiana,2023,37.05
Iowa,1974,31.98
Iowa,1975,30.06
Iowa,1976,23.59
Iowa,1977,36.59
Iowa,1978,34.14
Iowa,1979,34.34
Iowa,1980,29.09
Iowa,1981,31.99
Iowa,1982,41.44
Iowa,1983,36.51
Iowa,1984,36.91
Iowa,1985,31.15
Iowa,1986,39.9
Iowa,1987,32.84
Iowa,1988,21.48
Iowa,1989,24.69
Iowa,1990,38.9
Iowa,1991,37.74
Iowa,1992,36.21
Iowa,1993,47.87
Iowa,1994,29.54
Iowa,1995,32.25
Iowa,1996,33.64
Iowa,1997,29.21
Iowa,1998,39.57
Iowa,1999,32.28
Iowa,2000,29.73
Iowa,2001,34.59
Iowa,2002,29.48
Iowa,2003,28.69
Iowa,2004,35.41
Iowa,2005,29.84
Iowa,2006,32.4
Iowa,2007,42.4
Iowa,2008,42.91
Iowa,2009,39.15
Iowa,2010,44.05
Iowa,2011,31.83
Iowa,2012,25.6
Iowa,2013,34.44
Iowa,2014,38.69
Iowa,2015,42.51
Iowa,2016,38.1
Iowa,2017,32.35
Iowa,2018,45.08
Iowa,2019,41.63
Iowa,2020,29.28
Iowa,2021,30.84
Iowa,2022,27.32
Iowa,2023,26.82
Kansas,1974,24.44
Kansas,1975,26.17
Kansas,1976,21.0
Kansas,1977,32.51
Kansas,1978,23.82
Kansas,1979,29.58
Kansas,1980,21.58
Kansas,1981,29.94
Kansas,1982,28.56
Kansas,1983,26.42
Kansas,1984,28.92
Kansas,1985,32.91
Kansas,1986,31.4
Kansas,1987,32.22
Kansas,1988,19.84
Kansas,1989,26.44
Kansas,1990,27.93
Kansas,1991,23.15
Kansas,1992,33.79
Kansas,1993,38.47
Kansas,1994,25.0
Kansas,1995,29.68
Kansas,1996,30.76
Kansas,1997,30.29
Kansas,1998,32.31
Kansas,1999,30.26
Kansas,2000,25.48
Kansas,2001,27.75
Kansas,2002,22.44
Kansas,2003,25.11
Kansas,2004,30.91
Kansas,2005,29.6
Kansas,2006,24.73
Kansas,2007,33.26
Kansas,2008,33.34
Kansas,2009,31.8
Kansas,2010,27.84
Kansas,2011,24.17
Kansas,2012,19.29
Kansas,2013,29.03
Kansas,2014,25.43
Kansas,2015,32.77
Kansas,2016,30.68
Kansas,2017,29.03
Kansas,2018,31.85
Kansas,2019,36.03
Kansas,2020,25.85
Kansas,2021,27.25
Kansas,2022,21.24
Kansas,2023,25.6
Kentucky,1974,53.06
Kentucky,1975,56.95
Kentucky,1976,42.49
Kentucky,1977,48.52
Kentucky,1978,52.97
Kentucky,1979,62.58
Kentucky,1980,37.26
Kentucky,1981,43.92
Kentucky,1982,50.25
Kentucky,1983,47.83
Kentucky,1984,52.7
Kentucky,1985,44.42
Kentucky,1986,42.58
Kentucky,1987,38.44
Kentucky,1988,43.55
Kentucky,1989,57.74
Kentucky,1990,55.41
Kentucky,1991,46.03
Kentucky,1992,42.79
Kentucky,1993,46.87
Kentucky,1994,48.66
Kentucky,1995,47.95
Kentucky,1996,56.75
Kentucky,1997,49.05
Kentucky,1998,49.32
Kentucky,1999,38.09
Kentucky,2000,45.29
Kentucky,2001,45.43
Kentucky,2002,53.51
Kentucky,2003,55.98
Kentucky,2004,55.94
Kentucky,2005,39.8
Kentucky,2006,52.37
Kentucky,2007,41.86
Kentucky,2008,46.51
Kentucky,2009,54.35
Kentucky,2010,43.54
Kentucky,2011,64.35
Kentucky,2012,43.21
Kentucky,2013,55.78
Kentucky,2014,47.11
Kentucky,2015,58.3
Kentucky,2016,49.19
Kentucky,2017,50.26
Kentucky,2018,63.74
Kentucky,2019,61.31
Kentucky,2020,58.11
Kentucky,2021,53.39
Kentucky,2022,49.31
Kentucky,2023,44.06
Louisiana,1974,66.68
Louisiana,1975,66.76
Louisiana,1976,49.51
Louisiana,1977,59.42
Louisiana,1978,50.77
Louisiana,1979,71.35
Louisiana,1980,58.38
Louisiana,1981,45.55
Louisiana,1982,65.42
Louisiana,1983,68.0
Louisiana,1984,58.79
Louisiana,1985,60.41
Louisiana,1986,53.02
Louisiana,1987,60.21
Louisiana,1988,57.63
Louisiana,1989,64.0
Louisiana,1990,58.77
Louisiana,1991,79.48
Louisiana,1992,66.56
Louisiana,1993,58.94
Louisiana,1994,59.07
Louisiana,1995,62.33
Louisiana,1996,53.08
Louisiana,1997,64.31
Louisiana,1998,62.98
Louisiana,1999,47.84
Louisiana,2000,47.8
Louisiana,2001,68.31
Louisiana,2002,64.27
Louisiana,2003,51.95
Louisiana,2004,72.48
Louisiana,2005,45.57
Louisiana,2006,55.4
Louisiana,2007,52.41
Louisiana,2008,56.13
Louisiana,2009,64.04
Louisiana,2010,41.76
Louisiana,2011,43.01
Louisiana,2012,62.88
Louisiana,2013,61.43
Louisiana,2014,55.94
Louisiana,2015,67.31
Louisiana,2016,67.08
Louisiana,2017,64.06
Louisiana,2018,66.39
Louisiana,2019,61.87
Louisiana,2020,66.96
Louisiana,2021,66.28
Louisiana,2022,55.58
Louisiana,2023,43.68
Maine,1974,42.94
Maine,1975,41.39
Maine,1976,51.04
Maine,1977,48.89
Maine,1978,35.99
Maine,1979,50.38
Maine,1980,37.39
Maine,1981,48.38
Maine,1982,37.72
Maine,1983,55.91
Maine,1984,43.53
Maine,1985,35.54
Maine,1986,42.53
Maine,1987,38.04
Maine,1988,38.35
Maine,1989,41.82
Maine,1990,51.18
Maine,1991,44.24
Maine,1992,37.5
Maine,1993,43.61
Maine,1994,41.68
Maine,1995,42.72
Maine,1996,51.39
Maine,1997,39.51
Maine,1998,45.24
Maine,1999,46.35
Maine,2000,43.15
Maine,2001,29.83
Maine,2002,40.98
Maine,2003,46.02
Maine,2004,38.8
Maine,2005,61.59
Maine,2006,51.65
Maine,2007,47.63
Maine,2008,56.02
Maine,2009,49.46
Maine,2010,49.31
Maine,2011,50.04
Maine,2012,47.38
Maine,2013,45.61
Maine,2014,49.45
Maine,2015,43.16
Maine,2016,41.36
Maine,2017,45.32
Maine,2018,46.45
Maine,2019,49.99
Maine,2020,40.63
Maine,2021,39.75
Maine,2022,49.95
Maine,2023,54.0
Maryland,1974,40.13
Maryland,1975,53.76
Maryland,1976,40.53
Maryland,1977,39.67
Maryland,1978,44.74
Maryland,1979,56.95
Maryland,1980,36.71
Maryland,1981,36.54
Maryland,1982,39.7
Maryland,1983,51.37
Maryland,1984,45.5
Maryland,1985,40.69
Maryland,1986,36.55
Maryland,1987,38.51
Maryland,1988,37.86
Maryland,1989,51.18
Maryland,1990,46.27
Maryland,1991,35.79
Maryland,1992,42.32
Maryland,1993,45.72
Maryland,1994,45.83
Maryland,1995,39.53
Maryland,1996,58.97
Maryland,1997,38.77
Maryland,1998,42.46
Maryland,1999,44.27
Maryland,2000,43.92
Maryland,2001,36.02
Maryland,2002,41.47
Maryland,2003,60.74
Maryland,2004,46.59
Maryland,2005,44.03
Maryland,2006,44.97
Maryland,2007,36.05
Maryland,2008,45.0
Maryland,2009,51.27
Maryland,2010,40.89
Maryland,2011,51.11
Maryland,2012,40.4
Maryland,2013,46.04
Maryland,2014,44.76
Maryland,2015,46.86
Maryland,2016,41.66
Maryland,2017,41.21
Maryland,2018,64.62
Maryland,2019,42.7
Maryland,2020,52.85
Maryland,2021,41.57
Maryland,2022,44.1
Maryland,2023,38.08
Massachusetts,1974,44.73
Massachusetts,1975,55.75
Massachusetts,1976,42.45
Massachusetts,1977,54.08
Massachusetts,1978,42.2
Massachusetts,1979,54.45
Massachusetts,1980,35.53
Massachusetts,1981,43.16
Massachusetts,1982,45.71
Massachusetts,1983,59.42
Massachusetts,1984,49.9
Massachusetts,1985,40.55
Massachusetts,1986,48.4
Massachusetts,1987,45.27
Massachusetts,1988,42.31
Massachusetts,1989,50.38
Massachusetts,1990,52.01
Massachusetts,1991,48.23
Massachusetts,1992,44.79
Massachusetts,1993,44.45
Massachusetts,1994,47.81
Massachusetts,1995,41.49
Massachusetts,1996,60.61
Massachusetts,1997,41.12
Massachusetts,1998,50.16
Massachusetts,1999,46.04
Massachusetts,2000,50.19
Massachusetts,2001,39.98
Massachusetts,2002,47.23
Massachusetts,2003,53.29
Massachusetts,2004,46.5
Massachusetts,2005,57.01
Massachusetts,2006,53.7
Massachusetts,2007,45.49
Massachusetts,2008,59.7
Massachusetts,2009,51.71
Massachusetts,2010,49.63
Massachusetts,2011,60.83
Massachusetts,2012,41.78
Massachusetts,2013,46.39
Massachusetts,2014,50.1
Massachusetts,2015,41.39
Massachusetts,2016,36.83
Massachusetts,2017,46.82
Massachusetts,2018,61.03
Massachusetts,2019,52.74
Massachusetts,2020,42.4
Massachusetts,2021,54.82
Massachusetts,2022,43.54
Massachusetts,2023,57.69
Michigan,1974,32.51
Michigan,1975,36.64
Michigan,1976,27.92
Michigan,1977,33.91
Michigan,1978,30.96
Michigan,1979,32.42
Michigan,1980,31.59
Michigan,1981,32.12
Michigan,1982,34.47
Michigan,1983,34.87
Michigan,1984,31.96
Michigan,1985,39.22
Michigan,1986,34.8
Michigan,1987,30.44
Michigan,1988,32.35
Michigan,1989,27.57
Michigan,1990,36.19
Michigan,1991,35.5
Michigan,1992,33.36
Michigan,1993,32.44
Michigan,1994,32.39
Michigan,1995,31.83
Michigan,1996,34.0
Michigan,1997,29.93
Michigan,1998,29.56
Michigan,1999,31.4
Michigan,2000,33.02
Michigan,2001,35.17
Michigan,2002,30.9
Michigan,2003,31.08
Michigan,2004,35.35
Michigan,2005,29.89
Michigan,2006,35.85
Michigan,2007,30.66
Michigan,2008,36.85
Michigan,2009,33.87
Michigan,2010,31.22
Michigan,2011,36.82
Michigan,2012,31.0
Michigan,2013,38.23
Michigan,2014,36.66
Michigan,2015,31.74
Michigan,2016,35.86
Michigan,2017,39.27
Michigan,2018,36.17
Michigan,2019,41.83
Michigan,2020,35.31
Michigan,2021,32.88
Michigan,2022,32.62
Michigan,2023,33.4
Minnesota,1974,23.53
Minnesota,1975,27.98
Minnesota,1976,15.87
Minnesota,1977,33.93
Minnesota,1978,25.93
Minnesota,1979,28.39
Minnesota,1980,22.07
Minnesota,1981,28.05
Minnesota,1982,29.82
Minnesota,1983,29.13
Minnesota,1984,28.01
Minnesota,1985,30.69
Minnesota,1986,31.43
Minnesota,1987,22.09
Minnesota,1988,22.41
Minnesota,1989,22.47
Minnesota,1990,26.36
Minnesota,1991,32.2
Minnesota,1992,25.47
Minnesota,1993,31.44
Minnesota,1994,28.23
Minnesota,1995,29.51
Minnesota,1996,27.77
Minnesota,1997,25.2
Minnesota,1998,28.83
Minnesota,1999,29.67
Minnesota,2000,27.98
Minnesota,2001,29.28
Minnesota,2002,28.59
Minnesota,2003,22.2
Minnesota,2004,29.87
Minnesota,2005,31.6
Minnesota,2006,22.78
Minnesota,2007,29.21
Minnesota,2008,27.34
Minnesota,2009,26.38
Minnesota,2010,33.44
Minnesota,2011,24.35
Minnesota,2012,26.17
Minnesota,2013,29.01
Minnesota,2014,29.12
Minnesota,2015,29.46
Minnesota,2016,33.54
Minnesota,2017,28.3
Minnesota,2018,30.08
Minnesota,2019,35.65
Minnesota,2020,24.39
Minnesota,2021,23.57
Minnesota,2022,26.83
Minnesota,2023,24.04
Mississippi,1974,69.24
Mississippi,1975,68.53
Mississippi,1976,50.2
Mississippi,1977,59.51
Mississippi,1978,49.39
Mississippi,1979,75.58
Mississippi,1980,61.97
Mississippi,1981,42.34
Mississippi,1982,66.54
Mississippi,1983,74.32
Mississippi,1984,54.93
Mississippi,1985,52.77
Mississippi,1986,48.8
Mississippi,1987,52.32
Mississippi,1988,52.4
Mississippi,1989,65.52
Mississippi,1990,60.97
Mississippi,1991,73.9
Mississippi,1992,56.01
Mississippi,1993,55.08
Mississippi,1994,60.49
Mississippi,1995,57.44
Mississippi,1996,54.12
Mississippi,1997,64.85
Mississippi,1998,57.05
Mississippi,1999,47.9
Mississippi,2000,44.64
Mississippi,2001,66.28
Mississippi,2002,66.08
Mississippi,2003,58.98
Mississippi,2004,65.81
Mississippi,2005,50.64
Mississippi,2006,52.47
Mississippi,2007,41.78
Mississippi,2008,59.44
Mississippi,2009,68.42
Mississippi,2010,43.91
Mississippi,2011,52.84
Mississippi,2012,59.17
Mississippi,2013,62.93
Mississippi,2014,58.22
Mississippi,2015,60.57
Mississippi,2016,53.13
Mississippi,2017,58.93
Mississippi,2018,66.81
Mississippi,2019,68.06
Mississippi,2020,68.84
Mississippi,2021,65.5
Mississippi,2022,59.58
Mississippi,2023,47.61
